Name,ID,Ort,Bundesstaat,Region,Land,Jahr,Kilometerstand,Kraftstoff,Schaltung,Besitzer,KilometerPerLiter,Hubraum ,PS,Sitze,PreisEuro,Daten für Jason 
Maruti Wagon R LXI CNG,127197,Mumbai,Maharashtra,Westindien,Indien,2010,72000,CNG,Manual,First,3724,998,5816,5,203896,"{""data"": { ""id"":""127197,Maruti Wagon R LXI CNG"" }},"
Hyundai Creta 1.6 CRDi SX Option,127198,Pune,Maharashtra,Westindien,Indien,2015,41000,Diesel,Manual,First,27538,1582,1262,5,1456401,"{""data"": { ""id"":""127198,Hyundai Creta 1.6 CRDi SX Option"" }},"
Honda Jazz V,127199,Chennai,Tamil Nadu,Ostindien,Indien,2011,46000,Benzin,Manual,First,2548,1199,887,5,524304,"{""data"": { ""id"":""127199,Honda Jazz V"" }},"
Maruti Ertiga VDI,127200,Chennai,Tamil Nadu,Ostindien,Indien,2012,87000,Diesel,Manual,First,29078,1248,8876,7,699073,"{""data"": { ""id"":""127200,Maruti Ertiga VDI"" }},"
Audi A4 New 2.0 TDI Multitronic,127201,Coimbatore,Tamil Nadu,Ostindien,Indien,2013,40670,Diesel,Automatic,Second,2128,1968,1408,5,2066925,"{""data"": { ""id"":""127201,Audi A4 New 2.0 TDI Multitronic"" }},"
Hyundai EON LPG Era Plus Option,127202,Hyderabad,Telangana,Südindien,Indien,2012,75000,LPG,Manual,First,2954,814,552,5,273803,"{""data"": { ""id"":""127202,Hyundai EON LPG Era Plus Option"" }},"
Nissan Micra Diesel XV,127203,Jaipur,Rajastahn,Nordindien,Indien,2013,86999,Diesel,Manual,First,32312,1461,631,5,407792,"{""data"": { ""id"":""127203,Nissan Micra Diesel XV"" }},"
Toyota Innova Crysta 2.8 GX AT 8S,127204,Mumbai,Maharashtra,Westindien,Indien,2016,36000,Diesel,Automatic,First,15904,2755,1715,8,2038962,"{""data"": { ""id"":""127204,Toyota Innova Crysta 2.8 GX AT 8S"" }},"
Volkswagen Vento Diesel Comfortline,127205,Pune,Maharashtra,Westindien,Indien,2013,64430,Diesel,Manual,First,28756,1598,1036,5,605863,"{""data"": { ""id"":""127205,Volkswagen Vento Diesel Comfortline"" }},"
Tata Indica Vista Quadrajet LS,127206,Chennai,Tamil Nadu,Ostindien,Indien,2012,65932,Diesel,Manual,Second,3122,1248,74,5,227199,"{""data"": { ""id"":""127206,Tata Indica Vista Quadrajet LS"" }},"
Maruti Ciaz Zeta,127207,Kochi,Kerala,Südindien,Indien,2018,25692,Benzin,Manual,First,30184,1462,10325,5,1159295,"{""data"": { ""id"":""127207,Maruti Ciaz Zeta"" }},"
Honda City 1.5 V AT Sunroof,127208,Kolkata,Westbengalen,Ostindien,Indien,2012,60000,Benzin,Automatic,First,2352,1497,1163,5,523139,"{""data"": { ""id"":""127208,Honda City 1.5 V AT Sunroof"" }},"
Maruti Swift VDI BSIV,127209,Jaipur,Rajastahn,Nordindien,Indien,2015,64424,Diesel,Manual,First,3528,1248,74,5,652468,"{""data"": { ""id"":""127209,Maruti Swift VDI BSIV"" }},"
Land Rover Range Rover 2.2L Pure,127210,Delhi,DelhiStaat,Nordindien,Indien,2014,72000,Diesel,Automatic,First,1778,2179,1877,5,3145827,"{""data"": { ""id"":""127210,Land Rover Range Rover 2.2L Pure"" }},"
Mitsubishi Pajero Sport 4X4,127211,Delhi,DelhiStaat,Nordindien,Indien,2014,110000,Diesel,Manual,First,189,2477,17556,7,1747681,"{""data"": { ""id"":""127211,Mitsubishi Pajero Sport 4X4"" }},"
Honda Amaze S i-Dtech,127212,Kochi,Kerala,Südindien,Indien,2016,58950,Diesel,Manual,First,3612,1498,986,5,629165,"{""data"": { ""id"":""127212,Honda Amaze S i-Dtech"" }},"
Maruti Swift DDiS VDI,127213,Jaipur,Rajastahn,Nordindien,Indien,2017,25000,Diesel,Manual,First,3976,1248,74,5,697907,"{""data"": { ""id"":""127213,Maruti Swift DDiS VDI"" }},"
Renault Duster 85PS Diesel RxL Plus,127214,Kochi,Kerala,Südindien,Indien,2014,77469,Diesel,Manual,First,2863,1461,838,5,738687,"{""data"": { ""id"":""127214,Renault Duster 85PS Diesel RxL Plus"" }},"
