ID;Name;Ort;Bundesstaat;Region;Land;Jahr;Kilometerstand;Kraftstoff;Schaltung;Besitzer;KilometerPerLiter;Hubraum ;PS;Sitze;PreisEuro
127197;Maruti Wagon R LXI CNG;Mumbai;Maharashtra;Westindien;Indien;2010;72000;CNG;Manual;First;3724;998;5816;5;203896
127198;Hyundai Creta 1.6 CRDi SX Option;Pune;Maharashtra;Westindien;Indien;2015;41000;Diesel;Manual;First;27538;1582;1262;5;1456401
127199;Honda Jazz V;Chennai;Tamil Nadu;Ostindien;Indien;2011;46000;Benzin;Manual;First;2548;1199;887;5;524304
127200;Maruti Ertiga VDI;Chennai;Tamil Nadu;Ostindien;Indien;2012;87000;Diesel;Manual;First;29078;1248;8876;7;699073
127201;Audi A4 New 2.0 TDI Multitronic;Coimbatore;Tamil Nadu;Südindien;Indien;2013;40670;Diesel;Automatic;Second;2128;1968;1408;5;2066925
127202;Hyundai EON LPG Era Plus Option;Hyderabad;Telangana;Südindien;Indien;2012;75000;LPG;Manual;First;2954;814;552;5;273803
127203;Nissan Micra Diesel XV;Jaipur;Rajastahn;Nordindien;Indien;2013;86999;Diesel;Manual;First;32312;1461;631;5;407792
127204;Toyota Innova Crysta 2.8 GX AT 8S;Mumbai;Maharashtra;Westindien;Indien;2016;36000;Diesel;Automatic;First;15904;2755;1715;8;2038962
127205;Volkswagen Vento Diesel Comfortline;Pune;Maharashtra;Westindien;Indien;2013;64430;Diesel;Manual;First;28756;1598;1036;5;605863
127206;Tata Indica Vista Quadrajet LS;Chennai;Tamil Nadu;Ostindien;Indien;2012;65932;Diesel;Manual;Second;3122;1248;74;5;227199
127207;Maruti Ciaz Zeta;Kochi;Kerala;Südindien;Indien;2018;25692;Benzin;Manual;First;30184;1462;10325;5;1159295
127208;Honda City 1.5 V AT Sunroof;Kolkata;Westbengalen;Ostindien;Indien;2012;60000;Benzin;Automatic;First;2352;1497;1163;5;523139
127209;Maruti Swift VDI BSIV;Jaipur;Rajastahn;Nordindien;Indien;2015;64424;Diesel;Manual;First;3528;1248;74;5;652468
127210;Land Rover Range Rover 2.2L Pure;Delhi;DelhiStaat;Nordindien;Indien;2014;72000;Diesel;Automatic;First;1778;2179;1877;5;3145827
127211;Mitsubishi Pajero Sport 4X4;Delhi;DelhiStaat;Nordindien;Indien;2014;110000;Diesel;Manual;First;189;2477;17556;7;1747681
127212;Honda Amaze S i-Dtech;Kochi;Kerala;Südindien;Indien;2016;58950;Diesel;Manual;First;3612;1498;986;5;629165
127213;Maruti Swift DDiS VDI;Jaipur;Rajastahn;Nordindien;Indien;2017;25000;Diesel;Manual;First;3976;1248;74;5;697907
127214;Renault Duster 85PS Diesel RxL Plus;Kochi;Kerala;Südindien;Indien;2014;77469;Diesel;Manual;First;2863;1461;838;5;738687
127215;Mercedes-Benz New C-Class C 220 CDI BE Avantgare;Bangalore;Karnataka;Südindien;Indien;2014;78500;Diesel;Automatic;First;20776;2143;16762;5;3262339
127216;BMW 3 Series 320d;Kochi;Kerala;Südindien;Indien;2014;32982;Diesel;Automatic;First;31766;1995;190;5;2161299
127217;Maruti S Cross DDiS 200 Alpha;Bangalore;Karnataka;Südindien;Indien;2015;55392;Diesel;Manual;Second;3311;1248;885;5;961225
127218;Audi A6 2011-2015 35 TFSI Technology;Mumbai;Maharashtra;Westindien;Indien;2015;55985;Benzin;Automatic;First;18942;1984;17701;5;2738034
127219;Hyundai i20 1.2 Magna;Kolkata;Westbengalen;Ostindien;Indien;2010;45807;Benzin;Manual;First;259;1197;80;5;217878
127220;Volkswagen Vento Benzin Highline AT;Kolkata;Westbengalen;Ostindien;Indien;2010;33000;Benzin;Automatic;First;2016;1598;1036;5;332059
127221;Honda City Corporate Edition;Mumbai;Maharashtra;Westindien;Indien;2012;51920;Benzin;Manual;First;2352;1497;1163;5;495176
127222;Nissan Micra Diesel XV;Hyderabad;Telangana;Südindien;Indien;2012;54000;Diesel;Manual;First;32312;1461;631;5;495176
127223;Maruti Alto K10 2010-2014 VXI;Hyderabad;Telangana;Südindien;Indien;2013;54000;Benzin;Manual;Second;29288;998;671;5;320408
127224;Honda WRV i-VTEC VX;Kochi;Kerala;Südindien;Indien;2018;37430;Benzin;Manual;First;245;1199;887;5;1153470
127225;Toyota Innova 2.5 V Diesel 7-seater;Mumbai;Maharashtra;Westindien;Indien;2007;262000;Diesel;Manual;Fourth & Above;1792;2494;102;7;466048
127226;Renault Duster 110PS Diesel RxZ Pack;Bangalore;Karnataka;Südindien;Indien;2013;62000;Diesel;Manual;First;26614;1461;10845;5;902969
127227;Toyota Corolla Altis G;Delhi;DelhiStaat;Nordindien;Indien;2012;87615;Benzin;Manual;First;20342;1798;1381;5;786457
