ID;Name
127199;Honda Jazz V
127200;Maruti Ertiga VDI
127206;Tata Indica Vista Quadrajet LS
127235;Volkswagen Polo Diesel Trendline 1.2L
127250;Hyundai Grand i10 Sportz
127260;Tata Indica V2 eLS
127271;Toyota Innova 2.0 G1
127327;Maruti Alto LXi BSIII
127336;Skoda Rapid 1.5 TDI Elegance
127341;Maruti Swift VDI
127356;Volkswagen Vento 1.5 Highline Plus AT 16 Alloy
127371;Ford Fiesta 1.4 TDCi EXI Limited Edition
127382;Ford Figo Diesel ZXI
127389;Mahindra NuvoSport N6
127410;Maruti Wagon R LXI
127429;Maruti Ertiga VDI
127434;Maruti Ciaz 1.3 Alpha
127482;Toyota Innova Crysta 2.4 ZX MT
127518;Toyota Corolla H4
127519;Maruti Alto LXi
127525;Maruti Vitara Brezza LDi
127540;Hyundai i10 Magna 1.2
127543;Nissan Micra Diesel XV
127556;Mercedes-Benz GLA Class 200 CDI
127557;Maruti 800 AC
127558;Renault Duster 85PS Diesel RxL
127560;Mercedes-Benz New C-Class 220
127568;Honda City 1.5 S MT
127574;Hyundai EON Magna Plus
127577;BMW 3 Series 320d Sedan
127579;Audi A3 35 TDI Attraction
127596;Volvo S80 2006-2013 D5
127630;Maruti Ritz VXi
127631;Mitsubishi Cedia Sports
127651;Mercedes-Benz New C-Class 220 CDI MT
127658;Ford Figo Diesel EXI
127672;Skoda Octavia Classic 1.9 TDI MT
127674;Maruti Zen LXi BSII
127696;Hyundai Creta 1.6 SX
127732;Toyota Etios Liva GD
127737;Mahindra Renault Logan 1.5 DLE Diesel
127747;Maruti Swift ZXI
127750;Maruti Swift VDI
127752;Ford Ikon 1.3 LXi NXt
127758;BMW X1 sDrive 20d Sportline
127799;BMW 3 Series 320d
127804;Mahindra Bolero DI BSII
127805;Maruti Esteem Vxi - BSIII
127824;Honda City ZX CVT
127828;Hyundai i20 1.4 Magna ABS
127830;Toyota Corolla Executive (HE)
127854;Honda Jazz 1.2 V i VTEC
127858;Honda City V MT
127873;Land Rover Freelander 2 SE
127878;Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde
127898;Hyundai i20 1.2 Magna
127914;Volkswagen Jetta 2007-2011 1.9 Highline TDI
127916;Tata Indica V2 DLS
127920;Chevrolet Cruze LTZ
127928;Tata Nano Lx BSIV
127935;Mahindra Scorpio 2.6 DX
127938;Toyota Innova 2.5 V Diesel 8-seater
127970;Honda Jazz 1.2 VX i VTEC
127978;Honda Mobilio S i DTEC
127997;Hyundai i20 1.4 Asta
128004;Mahindra Xylo H4
128024;Honda Mobilio RS i DTEC
128028;Mahindra Bolero VLX BS IV
128051;Maruti Grand Vitara AT
128080;Audi Q3 2.0 TDI
128086;Volkswagen Vento TSI
128093;Ford EcoSport 1.5 TDCi Titanium
128136;Volkswagen Polo Diesel Comfortline 1.2L
128147;Maruti Alto K10 2010-2014 VXI
128156;Maruti Wagon R VXI Minor
128160;Nissan Sunny 2011-2014 XV Special Edition
128164;Maruti Wagon R LXI Minor
128173;Toyota Innova Crysta 2.4 GX MT
128177;Mahindra XUV500 W6 2WD
128182;Volkswagen Polo Diesel Highline 1.2L
128203;Hyundai Xcent 1.1 CRDi S
128220;Chevrolet Beat Diesel LT
128255;Mahindra XUV300 W8 Diesel
128258;Hyundai i20 Sportz Option
128260;Toyota Innova 2.5 V Diesel 7-seater
128274;Toyota Etios VD
128301;Tata Indica Vista Aura 1.3 Quadrajet
128310;Maruti Wagon R VXI BSIII
128315;Maruti SX4 ZDI
