id,name,ort,bundesstaat,region,land,jahr,kilometerstand,pS,preisEuro,kraftstoff,schaltung,besitzer,kilometerPerLiter,hubraum,sitze
127197,Maruti Wagon R LXI CNG,Mumbai,Maharashtra,Westindien,Indien,2010,72000,59,209557,CNG,Manual,Erster,37.24,998,5
127198,Hyundai Creta 1.6 CRDi SX Option,Pune,Maharashtra,Westindien,Indien,2015,41000,127,1496834,Diesel,Manual,Erster,19.67,1582,5
127199,Honda Jazz V,Chennai,Tamil Nadu,Ostindien,Indien,2011,46000,90,53886,Benzin,Manual,Erster,18.2,1199,5
127200,Maruti Ertiga VDI,Chennai,Tamil Nadu,Ostindien,Indien,2012,87000,90,71848,Diesel,Manual,Erster,20.77,1248,7
127201,Audi A4 New 2.0 TDI Multitronic,Coimbatore,Tamil Nadu,Ostindien,Indien,2013,40670,142,2124307,Diesel,Automatisch,Zweiter,15.2,1968,5
127202,Hyundai EON LPG Era Plus Option,Hyderabad,Telangana,S?dindien,Indien,2012,75000,56,281405,LPG,Manual,Erster,29.54,814,5
127203,Nissan Micra Diesel XV,Jaipur,Rajastahn,Nordindien,Indien,2013,86999,64,419113,Diesel,Manual,Erster,23.08,1461,5
127204,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,Maharashtra,Westindien,Indien,2016,36000,173,2095567,Diesel,Automatisch,Erster,11.36,2755,8
127205,Volkswagen Vento Diesel Comfortline,Pune,Maharashtra,Westindien,Indien,2013,64430,105,622683,Diesel,Manual,Erster,20.54,1598,5
127206,Tata Indica Vista Quadrajet LS,Chennai,Tamil Nadu,Ostindien,Indien,2012,65932,75,233506,Diesel,Manual,Zweiter,22.3,1248,5
127207,Maruti Ciaz Zeta,Kochi,Kerala,S?dindien,Indien,2018,25692,104,119148,Benzin,Manual,Erster,21.56,1462,5
127208,Honda City 1.5 V AT Sunroof,Kolkata,Westbengalen,Ostindien,Indien,2012,60000,117,537663,Benzin,Automatisch,Erster,16.8,1497,5
127209,Maruti Swift VDI BSIV,Jaipur,Rajastahn,Nordindien,Indien,2015,64424,75,670582,Diesel,Manual,Erster,25.2,1248,5
127210,Land Rover Range Rover 2.2L Pure,Delhi,DelhiStaat,Nordindien,Indien,2014,72000,190,3233161,Diesel,Automatisch,Erster,12.7,2179,5
127211,Mitsubishi Pajero Sport 4X4,Delhi,DelhiStaat,Nordindien,Indien,2014,110000,177,1796201,Diesel,Manual,Erster,13.5,2477,7
127212,Honda Amaze S i-Dtech,Kochi,Kerala,S?dindien,Indien,2016,58950,100,646632,Diesel,Manual,Erster,25.8,1498,5
127213,Maruti Swift DDiS VDI,Jaipur,Rajastahn,Nordindien,Indien,2017,25000,75,717283,Diesel,Manual,Erster,28.4,1248,5
127214,Renault Duster 85PS Diesel RxL Plus,Kochi,Kerala,S?dindien,Indien,2014,77469,85,759194,Diesel,Manual,Erster,20.45,1461,5
127215,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,Karnataka,S?dindien,Indien,2014,78500,169,3352908,Diesel,Automatisch,Erster,14.84,2143,5
127216,BMW 3 Series 320d,Kochi,Kerala,S?dindien,Indien,2014,32982,192,2221302,Diesel,Automatisch,Erster,22.69,1995,5
127217,Maruti S Cross DDiS 200 Alpha,Bangalore,Karnataka,S?dindien,Indien,2015,55392,89,98791,Diesel,Manual,Zweiter,23.65,1248,5
127218,Audi A6 2011-2015 35 TFSI Technology,Mumbai,Maharashtra,Westindien,Indien,2015,55985,179,2814048,Benzin,Automatisch,Erster,13.53,1984,5
127219,Hyundai i20 1.2 Magna,Kolkata,Westbengalen,Ostindien,Indien,2010,45807,81,223926,Benzin,Manual,Erster,18.5,1197,5
127220,Volkswagen Vento Benzin Highline AT,Kolkata,Westbengalen,Ostindien,Indien,2010,33000,105,341278,Benzin,Automatisch,Erster,14.4,1598,5
127221,Honda City Corporate Edition,Mumbai,Maharashtra,Westindien,Indien,2012,51920,117,508924,Benzin,Manual,Erster,16.8,1497,5
127222,Nissan Micra Diesel XV,Hyderabad,Telangana,S?dindien,Indien,2012,54000,64,508924,Diesel,Manual,Erster,23.08,1461,5
127223,Maruti Alto K10 2010-2014 VXI,Hyderabad,Telangana,S?dindien,Indien,2013,54000,68,329303,Benzin,Manual,Zweiter,20.92,998,5
127224,Honda WRV i-VTEC VX,Kochi,Kerala,S?dindien,Indien,2018,37430,90,1185492,Benzin,Manual,Erster,17.5,1199,5
127225,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,Maharashtra,Westindien,Indien,2007,262000,103,478987,Diesel,Manual,Vierter & mehr,12.8,2494,7
127226,Renault Duster 110PS Diesel RxZ Pack,Bangalore,Karnataka,S?dindien,Indien,2013,62000,110,928037,Diesel,Manual,Erster,19.01,1461,5
127227,Toyota Corolla Altis G,Delhi,DelhiStaat,Nordindien,Indien,2012,87615,139,80829,Benzin,Manual,Erster,14.53,1798,5
127228,Mahindra Ssangyong Rexton RX7,Bangalore,Karnataka,S?dindien,Indien,2013,72000,186,1496834,Diesel,Automatisch,Zweiter,11.18,2696,7
127229,Audi A6 2.7 TDI,Kolkata,Westbengalen,Ostindien,Indien,2010,35000,181,1377087,Diesel,Automatisch,Erster,12.4,2698,5
127230,Volkswagen Vento 1.6 Highline,Coimbatore,Tamil Nadu,Ostindien,Indien,2014,55431,105,835832,Benzin,Manual,Zweiter,16.09,1598,5
127231,Maruti Wagon R LXI BSIII,Jaipur,Rajastahn,Nordindien,Indien,2009,83816,65,221531,Benzin,Manual,Zweiter,14,1061,5
127232,Maruti Vitara Brezza ZDi Plus,Kochi,Kerala,S?dindien,Indien,2018,50075,89,1033414,Diesel,Manual,Erster,24.3,1248,5
127233,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,DelhiStaat,Nordindien,Indien,2017,52000,83,580772,Benzin,Manual,Erster,18.15,1198,5
127234,Mercedes-Benz M-Class ML 350 CDI,Pune,Maharashtra,Westindien,Indien,2013,85000,257,3352908,Diesel,Automatisch,Erster,11.74,2987,5
127235,Volkswagen Polo Diesel Trendline 1.2L,Chennai,Tamil Nadu,Ostindien,Indien,2013,62000,75,598734,Diesel,Manual,Erster,22.07,1199,5
127236,Maruti Alto LXi,Delhi,DelhiStaat,Nordindien,Indien,2008,90000,47,149683,Benzin,Manual,Zweiter,19.7,796,5
127237,Tata Nano LX SE,Kochi,Kerala,S?dindien,Indien,2014,19698,38,183212,Benzin,Manual,Erster,25.4,624,4
127238,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,Tamil Nadu,Ostindien,Indien,2017,22033,78,668187,Diesel,Manual,Erster,25.32,1198,6
127239,Hyundai i20 Magna Optional 1.2,Kochi,Kerala,S?dindien,Indien,2014,35487,84,567599,Benzin,Manual,Erster,18.5,1197,5
127240,Hyundai Elantra 2.0 SX Option AT,Bangalore,Karnataka,S?dindien,Indien,2014,46374,151,1059758,Benzin,Automatisch,Erster,14.62,1999,5
127241,Toyota Corolla Altis G AT,Mumbai,Maharashtra,Westindien,Indien,2016,52001,139,1210639,Benzin,Automatisch,Erster,14.28,1798,5
127242,Hyundai Elantra CRDi,Ahmedabad,Gujarat,Westindien,Indien,2008,58005,113,508924,Diesel,Manual,Zweiter,14.9,1991,5
127243,Toyota Innova Crysta 2.7 GX MT,Bangalore,Karnataka,S?dindien,Indien,2012,70704,165,1311226,Benzin,Manual,Erster,11.25,2694,7
127244,Hyundai Xcent 1.1 CRDi S,Jaipur,Rajastahn,Nordindien,Indien,2014,75000,72,461025,Diesel,Manual,Erster,24.4,1120,5
127245,Mahindra Thar CRDe AC,Jaipur,Rajastahn,Nordindien,Indien,2012,75800,106,658607,Diesel,Manual,Zweiter,16.55,2498,6
127246,Audi A4 2.0 TDI 177  Premium Plus,Kochi,Kerala,S?dindien,Indien,2015,13648,176,2566172,Diesel,Automatisch,Erster,17.11,1968,5
127247,Maruti Swift LDI,Delhi,DelhiStaat,Nordindien,Indien,2014,52000,75,508924,Diesel,Manual,Erster,22.9,1248,5
127248,Maruti Swift Ldi BSIV,Kolkata,Westbengalen,Ostindien,Indien,2014,53000,76,395164,Diesel,Manual,Erster,17.8,1248,5
127249,Maruti Swift VDI,Delhi,DelhiStaat,Nordindien,Indien,2013,65650,75,461025,Diesel,Manual,Erster,28.4,1248,5
127250,Hyundai Grand i10 Sportz,Chennai,Tamil Nadu,Ostindien,Indien,2015,54000,83,431088,Benzin,Manual,Dritter,18.9,1197,5
127251,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,Westbengalen,Ostindien,Indien,2015,39000,104,477789,Benzin,Manual,Erster,15.04,1598,5
127252,Renault KWID RXT,Kochi,Kerala,S?dindien,Indien,2017,16542,54,395164,Benzin,Manual,Erster,25.17,799,5
127253,Hyundai i10 Asta,Kolkata,Westbengalen,Ostindien,Indien,2010,32000,80,247876,Benzin,Manual,Erster,20.36,1197,5
127254,Nissan X-Trail SLX AT,Hyderabad,Telangana,S?dindien,Indien,2010,121812,149,928037,Diesel,Automatisch,Erster,13.29,1995,5
127255,Maruti Zen Estilo VXI BSIII,Hyderabad,Telangana,S?dindien,Indien,2010,39300,68,26943,Benzin,Manual,Erster,18.2,998,5
127256,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,Maharashtra,Westindien,Indien,2017,22000,149,1975821,Diesel,Manual,Erster,13.68,2393,8
127257,Ford Figo Diesel Titanium,Bangalore,Karnataka,S?dindien,Indien,2010,72000,69,329303,Diesel,Manual,Erster,20,1399,5
127258,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,DelhiStaat,Nordindien,Indien,2015,58000,188,3197237,Benzin,Automatisch,Erster,11.74,1796,5
127259,Mercedes-Benz New C-Class 200 CDI Classic,Pune,Maharashtra,Westindien,Indien,2011,65000,172,1197467,Diesel,Manual,Zweiter,15.8,2148,5
127260,Tata Indica V2 eLS,Chennai,Tamil Nadu,Ostindien,Indien,2016,178000,70,299367,Diesel,Manual,Erster,25,1396,5
127261,Audi A4 2.0 TDI Multitronic,Jaipur,Rajastahn,Nordindien,Indien,2012,65664,141,1616581,Diesel,Automatisch,Erster,16.55,1968,5
127262,Honda City ZX CVT,Mumbai,Maharashtra,Westindien,Indien,2007,63000,79,221531,Benzin,Automatisch,Zweiter,16.4,1497,5
127263,Maruti Ertiga SHVS VDI,Pune,Maharashtra,Westindien,Indien,2016,63000,89,975936,Diesel,Manual,Erster,24.52,1248,7
127264,Hyundai Creta 1.4 E Plus Diesel,Mumbai,Maharashtra,Westindien,Indien,2018,13000,90,125734,Diesel,Manual,Erster,22.1,1396,5
127265,Porsche Cayenne 2009-2014 Turbo,Mumbai,Maharashtra,Westindien,Indien,2008,73000,505,1736327,Benzin,Automatisch,Erster,8.5,4806,5
127266,Mahindra XUV500 W8 4WD,Mumbai,Maharashtra,Westindien,Indien,2015,55729,141,1155556,Diesel,Manual,Erster,15.1,2179,7
127267,Hyundai i10 Sportz 1.2 AT,Kochi,Kerala,S?dindien,Indien,2012,45178,80,416719,Benzin,Automatisch,Erster,16.95,1197,5
127268,Nissan Terrano XV D Pre,Kochi,Kerala,S?dindien,Indien,2015,56066,110,828647,Diesel,Manual,Erster,19.64,1461,5
127269,Honda Brio VX AT,Coimbatore,Tamil Nadu,Ostindien,Indien,2016,37300,88,773564,Benzin,Automatisch,Zweiter,16.5,1198,5
127270,Audi A6 2.0 TDI Design Edition,Delhi,DelhiStaat,Nordindien,Indien,2014,56000,190,3532528,Diesel,Automatisch,Zweiter,18.53,1968,5
127271,Toyota Innova 2.0 G1,Chennai,Tamil Nadu,Ostindien,Indien,2006,230000,133,53886,Benzin,Manual,Dritter,12.4,1998,8
127272,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,Telangana,S?dindien,Indien,2012,104000,103,1407024,Diesel,Manual,Erster,12.8,2494,7
127273,Maruti Swift VDI,Jaipur,Rajastahn,Nordindien,Indien,2012,95100,75,44905,Diesel,Manual,Erster,22.9,1248,5
127274,Tata Zest Revotron 1.2T XE,Pune,Maharashtra,Westindien,Indien,2017,70000,90,53886,Benzin,Manual,Erster,17.57,1193,5
127275,Honda Amaze SX i-VTEC,Kochi,Kerala,S?dindien,Indien,2016,54944,88,577179,Benzin,Manual,Erster,18,1198,5
127276,Ford Figo Diesel ZXI,Hyderabad,Telangana,S?dindien,Indien,2012,70337,69,335291,Diesel,Manual,Erster,20,1399,5
127277,Maruti Ritz VDi,Jaipur,Rajastahn,Nordindien,Indien,2013,99638,75,372412,Diesel,Manual,Erster,23.2,1248,5
127278,Honda City i VTEC E,Delhi,DelhiStaat,Nordindien,Indien,2009,52000,118,389177,Benzin,Manual,Erster,17.8,1497,5
127279,BMW 5 Series 2003-2012 525d,Delhi,DelhiStaat,Nordindien,Indien,2011,75000,220,1664479,Diesel,Automatisch,Zweiter,16.73,1995,5
127280,Hyundai i10 Sportz 1.2,Pune,Maharashtra,Westindien,Indien,2009,95980,80,26943,Benzin,Manual,Erster,20.36,1197,5
127281,Hyundai Grand i10 Sportz,Bangalore,Karnataka,S?dindien,Indien,2016,16000,83,688544,Benzin,Manual,Erster,18.9,1197,5
127282,Honda Amaze SX i-VTEC,Mumbai,Maharashtra,Westindien,Indien,2016,18949,88,598734,Benzin,Manual,Erster,17.8,1198,5
127283,Toyota Fortuner 4x2 Manual,Delhi,DelhiStaat,Nordindien,Indien,2014,107000,170,1975821,Diesel,Manual,Erster,13,2982,7
127284,Audi A6 2011-2015 35 TDI Premium,Coimbatore,Tamil Nadu,Ostindien,Indien,2018,48367,176,4739575,Diesel,Automatisch,Erster,17.68,1968,5
127285,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,DelhiStaat,Nordindien,Indien,2013,57000,91,658607,Diesel,Manual,Erster,22.7,1498,5
127286,Mahindra XUV500 W8 2WD,Delhi,DelhiStaat,Nordindien,Indien,2014,58000,141,969948,Diesel,Manual,Erster,15.1,2179,7
127287,Honda Amaze SX i-DTEC,Kolkata,Westbengalen,Ostindien,Indien,2015,30000,100,419113,Diesel,Manual,Erster,25.8,1498,5
127288,Volkswagen Polo Diesel Highline 1.2L,Kolkata,Westbengalen,Ostindien,Indien,2013,34212,75,334093,Diesel,Manual,Erster,22.07,1199,5
